time	V(clk)
2.200000100000000e-005	1.100000e-001
2.200000300000000e-005	3.300000e-001
2.200000600000000e-005	6.600000e-001
2.200001000000000e-005	1.100000e+000
2.200001040000000e-005	1.100000e+000
2.200001120000000e-005	1.100000e+000
2.200001280000000e-005	1.100000e+000
2.200001600000000e-005	1.100000e+000
2.200002240000000e-005	1.100000e+000
2.200003520000001e-005	1.100000e+000
2.200006080000001e-005	1.100000e+000
2.200011200000002e-005	1.100000e+000
2.200018494189701e-005	1.100000e+000
2.200026013292084e-005	1.100000e+000
2.200038923714607e-005	1.100000e+000
2.200053008811967e-005	1.100000e+000
2.200078876695524e-005	1.100000e+000
2.200117705490700e-005	1.100000e+000
2.200180896017634e-005	1.100000e+000
2.200292288814058e-005	1.100000e+000
2.200472642295392e-005	1.100000e+000
2.200790369952833e-005	1.100000e+000
2.201328624791282e-005	1.100000e+000
2.202253220713361e-005	1.100000e+000
2.203852318856834e-005	1.100000e+000
2.206592659105231e-005	1.100000e+000
2.217189729494285e-005	1.100000e+000
2.227234372351428e-005	1.100000e+000
2.237279015208571e-005	1.100000e+000
2.247323658065714e-005	1.100000e+000
2.257368300922858e-005	1.100000e+000
2.267412943780001e-005	1.100000e+000
2.277457586637144e-005	1.100000e+000
2.287502229494287e-005	1.100000e+000
2.293361604494287e-005	1.100000e+000
2.294141625000000e-005	1.100000e+000
2.295701666011426e-005	1.100000e+000
2.296880917977147e-005	1.100000e+000
2.297642496068559e-005	1.100000e+000
2.298477843817177e-005	1.100000e+000
2.298478843817177e-005	1.100000e+000
2.298480843817177e-005	1.100000e+000
2.298484843817178e-005	1.100000e+000
2.298492843817178e-005	1.100000e+000
2.298508843817179e-005	1.100000e+000
2.298540843817181e-005	1.100000e+000
2.298604843817186e-005	1.100000e+000
2.298732843817195e-005	1.100000e+000
2.298988843817213e-005	1.100000e+000
2.299500843817249e-005	1.100000e+000
2.299501843817249e-005	1.100000e+000
2.299503843817249e-005	1.100000e+000
2.299507843817249e-005	1.100000e+000
2.299515843817250e-005	1.100000e+000
2.299531843817251e-005	1.100000e+000
2.299563843817253e-005	1.100000e+000
2.299627843817258e-005	1.100000e+000
2.299755843817266e-005	1.100000e+000
2.299756843817267e-005	1.100000e+000
2.299758843817267e-005	1.100000e+000
2.299762843817267e-005	1.100000e+000
2.299770843817268e-005	1.100000e+000
2.299786843817269e-005	1.100000e+000
2.299818843817271e-005	1.100000e+000
2.299882843817275e-005	1.100000e+000
2.299885843817276e-005	1.100000e+000
2.299889843817276e-005	1.100000e+000
2.299897843817276e-005	1.100000e+000
2.299913843817278e-005	1.100000e+000
2.299945843817280e-005	1.100000e+000
2.299948843817280e-005	1.100000e+000
2.299952843817280e-005	1.100000e+000
2.299976843817282e-005	1.100000e+000
2.299979843817282e-005	1.100000e+000
2.299992843817283e-005	1.100000e+000
2.299998000000000e-005	1.100000e+000
2.300000000000000e-005	1.100000e+000
2.300001000000000e-005	1.100000e+000
2.300001100000000e-005	9.900000e-001
2.300001300000000e-005	7.700000e-001
2.300001600000000e-005	4.400000e-001
2.300002000000000e-005	1.559830e-010
2.300002040000000e-005	0.000000e+000
2.300002120000000e-005	0.000000e+000
2.300002280000000e-005	0.000000e+000
2.300002599999999e-005	0.000000e+000
2.300003239999999e-005	0.000000e+000
2.300004519999998e-005	0.000000e+000
2.300007079999997e-005	0.000000e+000
2.300012199999994e-005	0.000000e+000
2.300022439999987e-005	0.000000e+000
2.300042919999975e-005	0.000000e+000
2.300083879999950e-005	0.000000e+000
2.394140625000000e-005	0.000000e+000
2.396756689987259e-005	0.000000e+000
2.396759689987259e-005	0.000000e+000
2.396763689987259e-005	0.000000e+000
2.398804689987402e-005	0.000000e+000
2.398806689987402e-005	0.000000e+000
2.399999374692314e-005	0.000000e+000
2.400000000000000e-005	0.000000e+000
2.400000062530769e-005	6.878384e-002
2.400000187592306e-005	2.063515e-001
2.400000437715380e-005	4.814869e-001
2.400000937961529e-005	1.031758e+000
2.400001000000000e-005	1.100000e+000
2.400001100049230e-005	1.100000e+000
2.400001300147690e-005	1.100000e+000
2.400001700344609e-005	1.100000e+000
2.400002500738447e-005	1.100000e+000
2.400004101526123e-005	1.100000e+000
2.400007303101475e-005	1.100000e+000
2.400013706252179e-005	1.100000e+000
2.400026512553587e-005	1.100000e+000
2.400205800773302e-005	1.100000e+000
2.400820503240896e-005	1.100000e+000
2.401640106531021e-005	1.100000e+000
2.403279313111272e-005	1.100000e+000
2.406557726271773e-005	1.100000e+000
2.412417101271773e-005	1.100000e+000
2.424135851271773e-005	1.100000e+000
2.433343440557488e-005	1.100000e+000
2.442551029843202e-005	1.100000e+000
2.451758619128917e-005	1.100000e+000
2.460966208414631e-005	1.100000e+000
2.470173797700346e-005	1.100000e+000
2.479381386986060e-005	1.100000e+000
2.488588976271774e-005	1.100000e+000
2.494448351271775e-005	1.100000e+000
2.494451351271775e-005	1.100000e+000
2.494455351271775e-005	1.100000e+000
2.494955015375787e-005	1.100000e+000
2.495454679479798e-005	1.100000e+000
2.495954343583810e-005	1.100000e+000
2.496454007687822e-005	1.100000e+000
2.496953671791834e-005	1.100000e+000
2.497453335895845e-005	1.100000e+000
2.497952999999857e-005	1.100000e+000
2.497955999999857e-005	1.100000e+000
2.498976999999929e-005	1.100000e+000
2.498978999999929e-005	1.100000e+000
2.500000000000000e-005	1.100000e+000
2.500001000000000e-005	1.100000e+000
2.500001100000000e-005	9.900000e-001
2.500001300000000e-005	7.700000e-001
2.500001600000001e-005	4.400000e-001
2.500002000000000e-005	1.559830e-010
2.500002040000000e-005	0.000000e+000
2.500002120000000e-005	0.000000e+000
2.500002280000000e-005	0.000000e+000
2.500002600000000e-005	0.000000e+000
2.500003239999999e-005	0.000000e+000
2.500004519999998e-005	0.000000e+000
2.500007079999997e-005	0.000000e+000
2.500012199999994e-005	0.000000e+000
2.500022439999988e-005	0.000000e+000
2.500042919999975e-005	0.000000e+000
2.500083879999950e-005	0.000000e+000
2.594140625000000e-005	0.000000e+000
2.596756689987259e-005	0.000000e+000
2.596759689987258e-005	0.000000e+000
2.596771689987255e-005	0.000000e+000
2.598804689986708e-005	0.000000e+000
2.599999397056642e-005	0.000000e+000
